,labels,frequency
1389,mediterreanian plate,1
1390,tea salon,1
1391,miso soup,2
1392,baked,1
1393,helpings,1
1394,plantains,1
1395,home  made tomato sauce,1
1396,chunks of awesome tomatoes,1
1397,main dishes,4
1398,vindaloo chicken,1
1399,mini yorkshires,1
1400,tung  ting shrimp,1
1401,sichuan tofu with minced pork,1
1402,surly staff,1
1403,pizza place,1
1404,bacon cheeseburger,1
1405,treats,3
1406,eerything,1
1407,variety of sauces,1
1408,main dish,1
1409,tomatoes,4
1410,pernod,1
1411,quality pies,1
1412,deep dishes,1
1413,wait times,2
1414,food choices,2
1415,desert menus,3
1416,desert order,1
1417,braised rabbit,1
1418,thyme,1
1419,olive gravy,1
1420,calves,1
1421,sour onions,1
1422,chocolate pear tart,1
1423,mix of italian basil,1
1424,a butter sage sauce,1
1425,smoked seitan evokes peking du,1
1426,wide green  tea noodles,1
1427,bolognese sauce,1
1428,quinoa  lentil cakes,1
1429,pumpkin,1
1430,fluffy fries,1
1431,runners,1
1432,voluptuous porcini mushroom ra,1
1433,hefty lamb chops,1
1434,pineapple,2
1435,sorbet,3
1436,asian street food,1
1437,chinese menu,1
1438,french fries,4
1439,hummous,1
1440,pish sauce,1
1441,garlic  ginger  chicken,1
1442,baby lamb sotee,1
1443,kebabs of lamb,1
1444,turkish coffee,1
1445,kunefe,1
1446,corn rows,1
1447,greek salad,3
1448,plethora of olives,1
1449,eponymous falafel,1
1450,style thai cooking,1
1451,livelier front dining room,1
1452,non  smoking back room,1
1453,collection,1
1454,sicilian pie,1
1455,chopped basil,1
1456,brunch entrees,1
1457,outdoor table,1
1458,brazilian bbq,1
1459,priced place,1
1460,serving dinners,1
1461,airy dining room,1
1462,hot chocolate sauce,1
1463,menu shrimp cocktail,1
1464,pecan pie and cheese cake,1
1465,village salad,1
1466,greek food,1
1467,food servers,1
1468,w fries,1
1469,views,1
1470,surprise,1
1471,entree s,1
1472,basket,1
1473,tiramisu,8
1474,lady,1
1475,drink prices,1
1476,long wait,1
1477,chair,2
1478,asparagus and egg app,1
1479,outside,1
1480,bottles of wine,3
1481,seasonal fruit and strawberry ,1
1482,hot coffee,1
1483,spring rolls,5
1484,soy protein ham dish,1
1485,wine service,1
1486,prix  fixe,1
1487,sushi lunch,1
1488,employees,8
1489,cattle waiting,1
1490,fritas,1
1491,spicy shrimp with coconut rice,1
1492,coconut,1
1493,dessert tres leches de mango w,1
1494,beef brisket in a red wine,1
1495,panko  crusted tofu over hijik,1
1496,six  spice beef burger,1
1497,smoke,3
1498,pepperoncino,1
1499,cognac  rich duck terrine,1
1500,well  seasoned steak frites,1
1501,vegetable,2
1502,soup choices,1
1503,chicken curry,1
1504,mixes egg noodles with eggplan,1
1505,lemon,4
1506,dim lighting,1
1507,family fare,1
1508,baccala appetizer,1
1509,pistacchio,1
1510,saltimbocca,2
1511,outdoor,1
1512,clams,3
1513,zucchini,1
1514,disco,1
1515,wood counter,1
1516,water order,1
1517,cheese fondue,1
1518,beef tips,1
1519,black pepper crab dumplings,1
1520,goat,1
1521,chop,2
1522,plate of chicken,1
1523,potato,1
1524,monkfish mousse,1
1525,round table,1
1526,booth style seats,1
1527,chocolate chip cookies,2
1528,marshmallows,1
1529,new wine bar,1
1530,drunken goat cheese salad,1
1531,lobster empanadas,1
1532,a pomodoro sauce,1
1533,turkey burger,1
1534,food carts with bill,1
1535,coconut mousse,1
1536,braised,1
1537,pork flavor,1
1538,hollondaise sauce,1
1539,take  out pizza,1
1540,julienned vegetables,1
1541,balsamic vinagarette sauce,1
1542,margarita chicken salad,1
1543,steak entrees,1
1544,dessert options,1
1545,mac and cheese,4
1546,pork ribs,1
1547,scallops and caviar coupled wi,1
1548,cooked vegetables,1
1549,theatre crowd,1
1550,side,1
1551,apple tarte tatin,1
1552,times,1
1553,shacks,1
1554,dim sum places,1
1555,captain,5
1556,baked clams,1
1557,pumpkin soup,1
1558,sesame  soy vinaigrette,1
1559,sauteed tofu noodles,1
1560,steamboat soup,1
1561,cabbage,2
1562,watercress,1
1563,cherries,1
1564,yogurt breads,1
1565,spicy green and orange sauces,1
1566,crab croqueta,1
1567,cuban meal,1
1568,grilled calamari appetizier wi,1
1569,mixed seafood pasta main cours,1
1570,house dining,1
1571,restauarnt,1
1572,gold mashed potatoes,1
1573,greens or wilted tomatoes with,1
1574,greek wine,1
1575,homemade lasagna,1
1576,sparkling wine,1
1577,rooms,1
1578,spinach pie,1
1579,feta cheese,1
1580,stuffed grape,2
1581,peanuts,2
1582,red curry shrimp dish,1
1583,wooden bar,1
1584,wine rack,1
1585,breakfast selections,1
1586,tempura sashimi,1
1587,entrees rack lamb,1
1588,kobe tartar,1
1589,seafood dish,1
1590, side  dishes,1
1591,sardines,2
1592,booths,1
1593,red snapper,1
1594,remaining dinner,1
1595,corner table,2
1596,parents,1
1597,steak house,1
1598,shrimp frittata topped,1
1599,mayonnaise,2
1600,corn tamale,1
1601,homemade sour cream,1
1602,spiced strips,1
1603,delivery man,1
1604,french fare,2
1605,rice and vegetables,1
1606,new rolls,1
1607,turkey burgers,1
1608,buffalo steak,1
1609,potatoe gnocchi,1
1610,spinach with garlic,1
1611,scallop starter,1
1612,cheese bread,1
1613,are a,1
1614,hot sandwiches,1
1615,american platters,1
1616,finest buffalo mozerella and t,1
1617,solitary waitress,1
1618,rice beans,1
1619,whiting,1
1620,crab sticks,1
1621,the money,1
1622,antiques,1
1623,duck confit hash,1
1624,beer battered fish chips,1
1625,pre  theatre dinner menu,1
1626,quality pizza,1
1627,belly,1
1628,grilled panini,1
1629,the table,2
1630,chicken tikka,1
1631,marinated chicken,1
1632,sunset,1
1633,braised short ribs,1
1634,nicoise salad,1
1635,seared tuna,1
1636,food taste,1
1637,served hot,1
1638,mediterranean,2
1639,babaganoush,1
1640,moroccan chicken,1
1641,merguez lamb sausage,1
1642,dining choices range,1
1643,la carte menu,1
1644,linguine with tomato sauce,1
1645,homemade cheese ravioli,1
1646,specialty drinks,1
1647,souvenirs,1
1648,waiters fault,1
1649,pineapple basil,1
1650,asparagus spears,1
1651,hour waiting,1
1652,menu selections,2
1653,tuna with wasabi  soy vegetabl,1
1654,light caper vinaigrette,1
1655,fruits,2
1656,oregano,1
1657,egg yolks,1
1658,traditional scoops,1
1659,premium,1
1660,pints,1
1661,sandwhiches,1
1662,tea service,1
1663,scone,1
1664,realm,1
1665,the sauce,1
1666,entrees  chicken and sea bass ,1
1667,meals desserts,1
1668,creme brulee,1
1669,light red sauce,1
1670,palms,1
1671,ice cream and pastries,1
1672,commercial ice cream,1
1673,cajun food,1
1674,choice of sauces,1
1675,white wine  and  garlic broth,1
1676,beef stewed with beer,2
1677,downstair lounge,1
1678,spicy tuna,1
1679,spider roll,1
1680,soft shell crab,3
1681,mein noodles,1
1682,fish portion,1
1683,one,1
1684,portion sizes,1
1685,nibbles,1
1686,dessert sampler,1
1687,the three course meal,1
1688,roofdeck,1
1689,quality variety,1
1690,joe,1
1691,gnocci,1
1692,a fried egg,1
1693,gamey chopped liver mousse,1
1694,watercress salad with blue che,1
1695,burrito take  out place,1
1696,spide,1
1697,lobster roll,4
1698,white meat chicken salad,1
1699,formal upstairs dining room,1
1700,glass doors,1
1701,woods,1
1702,tapas menu,2
1703,carrot dressing,1
1704,dinner place,1
1705,refillable drink,1
1706,margaritas and appetizers,1
1707,reserved tables,1
1708,onion soup gratinee,1
1709,gruyere cheese,1
1710,souffle,1
1711,the food,1
1712,flavors of different dishes,1
1713,garden space,1
1714,egg dishes,1
1715,muffins,1
1716,toro appetizer,1
1717,quail,1
1718,pumpin puree,1
1719,glasses of water,1
1720,upbeat latin music,1
1721,stools,2
1722,cocktail napkins,1
1723,fruity drink menu,1
1724,spinach fettucine dish served ,1
1725,pink sauce,1
1726,baby,1
1727,eats,1
1728,latin jazz music,1
1729,w bisquits,1
1730,hint of wasabi enlivens the sh,1
1731,herb dipping sauce,1
1732,sushi soup,1
1733,callback,1
1734,lox,3
1735,brushetta,1
1736,cold tomatoes on toasted bread,1
1737,biscuits,1
1738,collard greens,3
1739,ham  hocked lima beans,1
1740,frozen sushi,1
1741,rib eye steak,1
1742,cheesiest music,1
1743,costs,1
1744,machine,1
1745,coffee drinks,1
1746,array of cakes,1
1747,chef s appetizers,1
1748,sesame flavored tile fish with,1
1749,japanese spiced flan with seaf,1
1750,tuna tartare with avocado,1
1751,refills,1
1752,slice,2
1753,sicilian,2
1754,raisin challah french toast,1
1755,tex  mex scrambled eggs,1
1756,crisp pork sausage,1
1757,beige decor,1
1758,next table,2
1759,salmon dip,1
1760,front desk,1
1761,homemade guac,1
1762,yellow rice,1
1763,irving,1
1764,pommes frites,1
1765,belgian beers,1
1766,mules frites,1
1767,new cocktails,1
1768,chefs table,1
1769,food menu,1
1770,front,2
1771,rubarb  crisp with basil ice c,1
1772,duck salad,1
1773,attendant,1
1774,dramatic space,1
1775,wood grilled kalbi,1
1776,bulgoki  bbq ,1
1777,korean dishes,1
1778,lip  smacking dishes,1
1779,bar keep,1
1780,elaborate sushi dishes,1
1781,japanese dinner,1
1782,mixed cocktail,1
1783,slant,1
1784,sammiches,1
1785,plate space,1
1786,single mixed drinks,1
1787,spanish rice,1
1788,new american food,1
1789,back patio,1
1790,main floor space,1
1791,host downstairs,1
1792,real olive oil,1
1793,pizza s,1
1794,gratuity,1
1795,orange slices,1
1796,ice chunks,1
1797,eggplant,3
1798,ziti,1
1799,chicken parmigiana,2
1800,dal,1
1801,fattouch,1
1802,turbot,1
1803,creamy lemon sauce,1
1804,hint of dill,1
1805,price fixe,1
1806,salt and vinegar chips,1
1807,choice,1
1808,dinner in  out,1
1809,atmostphere,1
1810,seating arrangment,1
1811,single room,1
1812,mirrors,2
1813,tablecloths,1
1814,cheese plates with sweet  sour,1
1815,lamb  stuffed fried olives,1
1816,tigelle panini,1
1817,rice with shrimp,1
1818,lobster tails,2
1819,stewed root vegetables,1
1820,soup dumplings,4
1821,onion rings,1
1822,cheese selections,1
1823,drink order,1
1824,delights,1
1825,backyard patio spread,1
1826,bar seating,1
1827,mozarella,1
1828,black olives,1
1829,price of adding lobster meat,1
1830,frites w marjoram,1
1831,dining concourse,1
1832,dining choices,1
1833,fish dishes,1
1834,seafood dishes,4
1835,beverage,2
1836,grain pancakes,1
1837,bar manager,1
1838,special drinks,1
1839,shrimp with brown sauce,1
1840,hsared dessert,1
1841,salad bar,1
1842,food pizzas,1
1843,mediterranean goodies,1
1844,sale,1
1845,establishment,2
1846,coat tails,1
1847,custom,1
1848,dessert drinks,2
1849,entree options of mahi,1
1850,kobe beef ribs,1
1851,spring roll,1
1852,pre  fixe dinner,1
1853,staples,2
1854,initial drinks,1
1855,flat pasta with truffle mushro,1
1856,vicinity,1
1857,fork,2
1858,meat pie,1
1859,meat sauce,1
1860,persian tea,1
1861,honey,1
1862,club,2
1863,poached fish,1
1864,flat,1
1865,fried,3
1866,motherland,1
1867,risotto,3
1868,entree menu,1
1869,concoctions,1
1870,banquets,1
1871,grilled cheese,1
1872,peanut butter and jelly sandwi,1
1873,salmon roll,1
1874,tuna roll,1
1875,bustelo coffee,1
1876,sambosas,1
1877,naan,3
1878,crepe filled with potatoes,1
1879,window,2
1880,heat,1
1881,beet ravioli,1
1882,blue oceanic,1
1883,central meat,1
1884,tapas  like seafood treats,1
1885,alcoholic,1
1886,background,1
1887,cafeteria room,1
1888,daily risotto special,1
1889,wild mushroom day,1
1890,pho broth,1
1891,fettuccine alfredo,1
1892,seafood entree,1
1893,parmesan,1
1894,beef belly soup,1
1895,chow fun noodles,1
1896,hawaiian bbq  bbq chicken,1
1897,bacon and chicken club,1
1898,ingredients like baby portobel,1
1899,fried green tomatoes,1
1900,cooked quail appetizer,1
1901,chocolate mousse dessert,1
1902,cheesecake or chocolate mousse,1
1903,fish cake,1
1904,veggie hot soba entree,1
1905,cajun  italian menu,1
1906,cajun spaghetti with meatballs,1
1907,ricotta,1
1908,garlic and basil,1
1909,french fries served,1
1910,appetizer each,1
1911,la carte grilled items,1
1912,chicken with scallion skewers,1
1913,asparagus with bacon rolls,1
1914,paella,3
1915,fat grease,1
1916,crepe,1
1917,carciofi,1
1918,branzino fileted,1
1919,coffee served,2
1920,dough,3
1921,flour,1
1922,variety,2
1923,roast lamb,1
1924,steak au poivre,1
1925,japanese folk music,1
1926,speakers,1
1927,turkey testicles,1
1928,house,1
1929,value bottle selections,1
1930,big chocolate chip cookie,1
1931,bag of chips,1
1932,day,4
1933,floor manager,1
1934,patroon burger,1
1935,a roasted tomato,1
1936,bag,1
1937,french list,1
1938,green salad,1
1939,prix,1
1940,transformation,1
1941,environs,1
1942,spinach with beans and fried p,1
1943,potato steak fries,1
1944,champagne toast,1
1945,soy,1
1946,oz fillet mignon,1
1947,toast,1
1948,eel,1
1949,trout,1
1950,actual dining room,1
1951,waitress  hostess,1
1952,martini guy,1
1953,martini with blue cheese olive,1
1954,chicken in vinegar,1
1955,breeziness,1
1956,pooris,1
1957,humus,1
1958,cucumber,1
1959,backyard bbq taste,1
1960,mozzerella appetizer,1
1961,accompanying tomato,1
1962,cultured wait staff,1
1963,thing,1
1964,squash,1
1965,snapper,1
1966,pho,1
1967,frozen hot chocolate,1
1968,slice of cheese,1
1969,grape juice,1
1970,alcohol,1
1971,letters,1
1972,primi,1
1973,sausage gumbo,1
1974,pork tenderloin,1
1975,korean rice wine,1
1976,salmon carpaccio,1
1977,fish special,1
1978,key lime pie,1
1979,pesto ravioli,1
1980,onion puree,1
1981,smell of butter,1
1982,seafood sausage,1
1983,food pies,1
1984,queens,1
1985,upstairs,1
1986,seafood  dominant fusion menu,1
1987,lobster  mushroom tart with fi,1
1988,price point,1
1989,grilled sardines,1
1990,patties steam  grilled,1
1991,fried whiting,1
1992,chicken rice soup,1
1993,spaghetti and meatballs,1
1994,eggplant parmesan,1
1995,freshness,1
1996,delivery portions,1
1997,posers,1
1998,middle eastern menu,1
1999,platters,3
2000,dates,1
2001,white rice,1
2002,black beans,1
2003,tomato,2
2004,dim sum,3
2005,welcome,1
2006,chop  away  at  it veal,1
2007,palak paneer,1
2008,tandoori,1
2009,suckling pig,1
2010,pumkin raviloi,1
2011,robata,1
2012,host  manager,1
2013,dumpling menu,1
2014,style of cooking,1
2015,resteraunt staff,1
2016,apps,1
2017,ziti bolognese,1
2018,after  dinner drink,1
2019,exec,1
2020,staff service,1
2021,appetizer selection,1
2022,iced tea,1
2023,mariano,1
2024,glass of champagne,1
2025,portion smothered with sauce,1
2026,owner recommended,1
2027,raw bar special,1
2028,raw oysters,1
2029,twister shrimp,1
2030,mango sorbet,1
2031,cheesecake factory,1
2032,percentage,1
2033,others,1
2034,bean,1
2035,mexican spot,1
2036,salsa,2
2037,onion pieces,1
2038,ping,1
2039,dessert chef,1
2040,festive crew,1
2041,baked potatoes,1
2042,club sandwiches,1
2043,foie gras mousse,1
2044,tender grilled calamari,1
2045,shrimp with spinach in puff pa,1
2046,fried brie,1
2047,wonton noodle soup,1
2048,shrimp cocktail,1
2049,marinara  arrabiatta sauce,1
2050,mozzarella en,1
2051,pot pie,1
2052,veal chop,1
2053,workers,3
2054,music selection,1
2055,potato chips,1
2056,brunch price,1
2057,chef app,1
2058,cakebread cabernet,1
2059,outdoor space,1
2060,surroundings,1
2061,hamburgers with caramelized on,1
2062,tuna  lemon juice,1
2063,capers,1
2064,parsley,1
2065,specialty desserts,1
2066,zucchini flowers,1
2067,escargot  topped mushroom,1
2068,truffle honey,1
2069,mustard sauce,3
2070,back,1
2071,kobe beef,1
2072,mix of fries,1
2073,burgers themselves,1
2074,pepper,1
2075,eight spice appetizer,1
2076,outdoor area,1
2077,potato cubes,1
2078,corn chowder,1
2079,gravlax,1
2080,dining car,1
2081,clothing,1
2082,queso,1
2083,theme,1
2084,celebratory dinner,1
2085,cranberry relish,1
2086,cheese platter,1
2087,grits,1
2088,soupy cheese sauce,1
2089,beef briolle,1
2090,7a,1
2091,meatball,1
2092,eggplant parm heros,1
2093,peter,1
2094,wine bottles,1
2095,frito pie,1
2096,artichoke served,1
2097,warm poached egg topped with p,1
2098,brisket,1
2099,person,2
2100,fried chicken,3
2101,wait list,1
2102,recipe uses shrimp,1
2103,juice,1
2104,feast pizza,1
2105,meatzza,1
2106,ham,1
2107,italian sausage,1
2108,grand slam breakfast,1
2109,brunch drinks,1
2110,wisely,1
2111,vietnamese cuisine,1
2112,sushi tuna,1
2113,wasabi aioli,1
2114,duck substitution,1
2115,lamb ribs,1
2116,design,1
2117,amount of food,1
2118,wait staffs,1
2119,scungilli,1
2120,calamari served,1
2121,spicy red sauce atop linguine,1
2122,portion of tender beef,1
2123,spaghetti,1
2124,brunch prix,1
2125,night,3
2126,flan,2
2127,french outdoor bistro,1
2128,truffles,2
2129,window  front tables,1
2130,nan,1
2131,barbecued ribs,1
2132,interpretations,1
2133,wasabi mayo,1
2134,selection of cakes,1
2135,salted fried clams,1
2136,brown sugar  lacquered ribs,1
2137,delivery guy,1
2138,mushroom custard,1
2139,stellar mole,1
2140,sides on,1
2141,wines by the glass,1
2142,yellowtail tuna carpaccio,1
2143,mint,1
2144,crab salad partnered with swee,1
2145,flavor notes,1
2146,japanese menu,1
2147,japanese cuisine,1
2148,latin american food,1
2149,sir routine,1
2150,cup of tea,1
2151,grill fish served,1
2152,virgin olive oil,1
2153,toaster,1
2154,napoleon,1
2155,shrimp and lobster bisques,1
2156,pumpkin corn bisque,1
2157,hot food,1
2158,fresh juice,1
2159,twist,1
2160,baked goods,1
2161,bagels,6
2162,mexican restaurant,1
2163,arugula,1
2164,grease,1
2165,outdoors patio,1
2166,dinner seating,1
2167,dinner list,1
2168,owners pat,1
2169,private area,1
2170,floor,1
2171,ratings,1
2172,overlap,1
2173,la carte,1
2174,chilled seafood platters,1
2175,kosher,1
2176,new dishes,1
2177,j erk shrimp,1
2178,storage room,1
2179,dining space,1
2180,lollies,1
2181,orders,1
2182,duck dishes,1
2183,ubiquitious thai tea,1
2184,takeout,3
2185,bottle of italian beer,1
2186,blackboard,1
2187,sandwhich,1
2188,wedding,1
2189,balthazar,1
2190,runner,1
2191,lobster course,1
2192,mango ice cream,1
2193,journey,1
2194,ricotta cheese,1
2195,osso bucco,1
2196,salted popcorn,1
2197,foo foo drinks,1
2198,juices,1
2199,signature cheese,1
2200,round cheese bowl,1
2201,spots,1
2202,olives served,1
2203,a la carte menu,1
2204,multicourse,1
2205,red meat,1
2206,lobster risotto,1
2207,white sheets,1
2208,marble communal table,1
2209,hot entrees,1
2210,sushi lovers,1
2211,thin organic burger,1
2212,a prime beef,1
2213,cheddar,2
2214,snow crab,1
2215,food meat,1
2216,heroes,1
2217,seating immediately,1
2218,brunches,1
2219,seafood salad,1
2220,sole stuffed,1
2221,crabmeat,2
2222,desert menu,1
2223,crabcake,1
2224,homemade ravioli,1
2225,maniccoti,1
2226,cream of rice,1
2227,serve,1
2228,pound cake,1
2229,oj,2
2230,pasta bolognese,1
2231,tile flooring tables,1
2232,volumous wine list,1
2233,stuffed mushrooms,1
2234,cream cheese,1
2235,torro,1
2236,w red clam sauce,1
2237,clam s,1
2238,diner lines,1
2239,gourmet,1
2240,fixins  combos,1
2241,middle,1
2242,layering,1
2243,sauce over mozzarella,1
2244,ricotta cheesecake,1
2245,chocolate and kahlua mousse,1
2246,meat appetizer,1
2247,cocktail girl,1
2248,ham fried rice,1
2249,braised fish,1
2250,traditional greek,1
2251,italian cuisine,1
2252,romano family,1
2253,beet s,1
2254,majority,1
2255,showcasing vegetables,1
2256,cheddar cheese,1
2257,apple smoked bacon,1
2258,sear marks,1
2259,korean food,2
2260,food service,1
2261,plane,1
2262,salmon ever,1
2263,garlic knots,1
2264,priced coffee,1
2265,french  belgian menu,1
2266,cajun fries,1
2267,room temperature food,1
2268,green papaya salad,1
2269,non  existent,1
2270,interest,1
2271,chicken salad sandwich,1
2272,sushis,1
2273,specials  the menu,1
2274,raspberry  marscapone  stuffed,1
2275,busline,1
2276,barbecued chicken,1
2277,dimsum,2
2278,chicken verde burrito,1
2279,overkill,1
2280,two main dining,1
2281,latin,1
2282,yellow rice w chicken red bell,1
2283,churrasco,2
2284,citrus shrimp,1
2285,pot of boiling water,1
2286,glass noodles,1
2287,vegs,1
2288,pasta special,1
2289,fried soft  shell crab,1
2290,whole fish with red chiles,1
2291,sushi  sashimi,1
2292,wine bottle,1
2293,techno music,1
2294,chicken with string beans,1
2295,steamed stripe bass with ginge,1
2296,fried rice,1
2297,diner atmosphere,1
2298,clientel,1
2299,steak with pistachio salsa,1
2300,braised lamb,1
2301,olives,2
2302,citrus slices,1
2303,killer dj,1
2304,business lunch,1
2305,cookie,1
2306,orange or pineapple slice,1
2307,fruit fondue,1
2308,prie fixe menu,1
2309,rizzo,1
2310,sea paintings,1
2311,california roll,2
2312,crab meat,1
2313,owner staff,1
2314,ensuing dinner,1
2315,fried squash blossoms,1
2316,curry chicken,1
2317,roast pork,1
2318,bbq sauce,1
2319,stir fried cube steak,1
2320,main course portion sizes,1
2321,sushi portions,1
2322,teriyaki,1
2323,prix  fixe special,1
2324,onion,1
2325,seasoned pork,1
2326,outdoor picnic tables,1
2327,summertime,1
2328,cost of beer,1
2329,ravioli dish,1
2330,pace,1
2331,candle  light,1
2332,food  quality,1
2333,chicken and veal dishes,1
2334,bread and salad,1
2335,daily fresh fish,1
2336,latin food,1
2337,fish and tomato sauce,1
2338,wine dinner,1
2339,glass separately,1
2340,pork rolls,1
2341,rice paper,1
2342,the chocolate cake,1
2343,slice of tomato,1
2344,open doors,1
2345,abundance of cheese,1
2346,lamb chop,2
2347,extra virgnin olive oil,1
2348,pastaless eggplant lasagna,1
2349,gnocchi souffle,1
2350,fulfilling meal,1
2351,celery root soup,1
2352,era,1
2353,portion size  price combo,1
2354,bartenders management,1
2355,white wine  based sauce,1
2356,food variety,1
2357,waiter spooning butter,1
2358,miami,1
2359,martini in,1
2360,southern cooking,1
2361,mussels in bread pot,1
2362,homemade ravioli filled,1
2363,swordfish,1
2364,salsa music,1
2365,mixed bag,1
2366,lobster soup,1
2367,fajita,1
2368,cranberry sauce,1
2369,mesquite chicken,1
2370,smoked turkey,1
2371,philly cheese steaks,1
2372,indian side items,1
2373,snail ravioli,1
2374,mango salad,1
2375,kashmiri chicken,1
2376,sushi counter,1
2377,potato and cheese,1
2378,polish kielbasa,1
2379,la carte side vegetable,1
2380,scones,1
2381,cakes,2
2382,mar  tea  nis,1
2383,served dinner,2
2384,potion,1
2385,duck breast with mushroom cane,1
2386,jumbo shrimp,1
2387,turnip soup with pureed basil,1
2388,food cost,1
2389,nang with coconut milk,1
2390,club scene,1
2391,chicken sald w olives,1
2392,red peppers,1
2393,noodle,1
2394,bbq pork rice,1
2395,duck soy sauce chicken rice,1
2396,orange valve,1
2397,dessert plate,1
2398,chick pea  eggplant dish,1
2399,saag paneer,2
2400,tofu  like cheese,1
2401,okonomiyake,1
2402,duck spring rolls,1
2403,lobster and goat cheese quesad,1
2404,wild mushroom ravioli,1
2405,concluded dinner,1
2406,steak special,2
2407,eggplant parmigiana appetizer,1
2408,halibut with of course black b,1
2409,grilled eggplant roll,1
2410,cripsy squid,1
2411,basil pepper mojito,1
2412,watered  down martini,1
2413,striped button  downs,1
2414,community dining atmosphere,1
2415,spinach dip,1
2416,thai lemonade,1
2417,bi  level dining room,1
2418,specimens,1
2419,wasa,1
2420,outdoor seating area,1
2421,thai staples,1
2422,pad thai and curry dishes,1
2423,romaine salad,1
2424,santa fe chopped salad,1
2425,fish and chips,1
2426,turnip cake,1
2427,recipes,1
2428,obligatory,1
2429,press coffee,1
2430,green hair table,1
2431,front window,1
2432,almond crusted halibut,1
2433,sashimi appetizer,1
2434,humus and cheese plates,1
2435,busboys,2
2436,raw fish,1
2437,engagements,1
2438,pesto,1
2439,bananas,1
2440,pig dog,1
2441,five  course dinner,1
2442,signature oysters,1
2443,waiting tables,1
2444,weekday,1
2445,moules frites,1
2446,salmon burger,1
2447,hugs,1
2448,chili guac,1
2449,main,1
2450,response,1
2451,falafel sandwich,1
2452,grill calamari,1
2453,rigatoni,1
2454,table location,1
2455,hummos platter,1
2456,brie sandwich,1
2457,space downstairs,1
2458,fried egg and avocado,1
2459,asparagus omelette with truffl,1
2460,veal cordon blue,1
2461,menu boards,1
2462,eggplant in garlic sauce,1
2463,zen vegi  burger,1
2464,soy milk,1
2465,empanadas,1
2466,batter,1
2467,chunky blue cheese,1
2468,frozen margaritas,1
2469,grilled corn,1
2470,quantity,1
2471,shredded chicken breast in gar,1
2472,greek olives,1
2473,brunch spot,1
2474,onion soup,2
2475,customer,2
2476,seating people,1
2477,fragrant sesame oil  scented r,1
2478,food place,1
2479,cleaning,1
2480,savory items served,1
2481,dinner hours,1
2482,wood chairs,1
2483,organic free range chicken,1
2484,rabbit curry,1
2485,curry sauce,1
2486,evening,1
2487,aspect,1
2488,red velvet cake,1
2489,broads,1
2490,indecision,1
2491,white  wine  and  garlic broth,1
2492,beef stewed,1
2493,diner food,2
2494,take  out staples,1
2495,upstairs space,1
2496,wood tables,1
2497,flat noodles,1
2498,discount,1
2499,value for money,1
2500,main meals,1
2501,v  day dinner,1
2502,wait anyway,1
2503,vegetable pakora,1
2504,lamb tikka masala and tandoori,1
2505,alaska king crab legs and frie,1
2506,community,1
2507,breaded veal chop with tomatoe,1
2508,pea  and  mushroom risotto top,1
2509,slivers of fried zucchini,1
2510,doused with truffle oil,1
2511,top  shelf roasted chicken,1
2512,flyer,1
2513,ps450 dishes,1
2514,sliced steak,1
2515,poppers,1
2516,glass of spanish wine,1
2517,half  full,1
2518,pasta sides,1
2519,baby carrots,1
2520,sun dried tomatoes,1
2521,yokan,1
2522,lunch crowd,1
2523,lobster ravioli in a light aur,1
2524,double  cut grilled veal chop,1
2525,aromatic salsa verde,1
2526,octopus salad with steamed pot,1
2527,berries,1
2528,soft shell chicken taco,1
2529,fried catfish sandwiches,1
2530,shrimp in cream sauce,1
2531,eggplant in miso,1
2532,moments,1
2533,japanese,2
2534,sesame noodles,1
2535,string bean and goat cheese,1
2536,hunan beef,1
2537,assortment,1
2538,price range,1
2539,table of dishes,1
2540,mistake,1
2541,sausage fest,1
2542,serving staff,1
2543,drinkers,1
2544,convesation,1
2545,garlicky tomato bruschetta,1
2546,platter of prosciutto with dry,1
2547,baby spinach salad with shaved,1
2548,quality fish,1
2549,appetizers   the rock shrimp a,1
2550,coffee flan,1
2551,couches,1
2552,club soda,1
2553,ginger iced tea,1
2554,home  made fresh lemonade,1
2555,drink wine,1
2556,cream spinach,1
2557,german fries,1
2558,raisins  spinach,1
2559,mahi,1
2560,chicken options,1
2561,spread,1
2562,lamb pasanda,1
2563,shrimp and bacon hash,1
2564,creme brulee  it,1
2565,blk fettucine,1
2566,cioppino,1
2567,mystery drink,1
2568,the window,1
2569,lump crab cakes,1
2570,chopped iceburg  feta salads,1
2571,burritos,1
2572,live band,1
2573,kitchen nails pasta dishes,1
2574,linguine with clams,1
2575,curry shrimp w mushrooms,1
2576,watercress salad,1
2577,soy noodle soup with chicken,1
2578,maryland crabcake roll,1
2579,on poached eggs,1
2580,omelets,1
2581,bottled dressing,1
2582,new general manager,1
2583,smith,1
2584,blue tiles,1
2585,plaster,1
2586,water or wine,1
2587,deals,1
2588,penny,1
2589,american bistro dishes,1
2590,soda  fountain,1
2591,tacos,1
2592,catfish,2
2593,pork pipian,1
2594,tortillas stuffed with guacamo,1
2595,stupid,1
2596,chipotle chicken,1
2597,spicy new zealand mussels,1
2598,raspberry lemonade,1
2599,shells,1
2600,the tomato sauce,1
2601,hamburger bun,1
2602,beet ravioli appetizer,1
2603,hot onion soup,1
2604,hot appetizers,1
2605,regular menu,1
2606,back rooms,1
2607,environments,1
2608,whole fish,1
2609,light tomato broth,1
